Ethnicity,Percentage
Any other ethnic group,2.2
Asian - Any other Asian background,2
Asian - Bangladeshi,1.8
Asian - Chinese,0.6
Asian - Indian,3.4
Asian - Pakistani,4.5
Black - Any other Black background,0.8
Black - Black African,4
Black - Black Caribbean,1
Mixed - Any other Mixed background,2.5
Mixed - White and Asian,1.6
Mixed - White and Black African,0.9
Mixed - White and Black Caribbean,1.6
Unclassified,1.6
White - Any other White background,6.8
White - Gypsy/Roma,0.3
White - Irish,0.3
White - Traveller of Irish heritage,0.1
White - White British,63.9
