Country,HFCE per capita (USD)
United States,43931
Hong Kong,37893
Luxembourg,33647
Bermuda,32146
Switzerland,31314
Singapore,29790
Norway,27843
Canada,26423
Iceland,26376
Germany,25834
Austria,25822
United Kingdom,25738
Australia,25562
Puerto Rico,25269
Cyprus,24657
Finland,24054
Belgium,23912
New Zealand,23355
Sweden,22928
Netherlands,22853
Denmark,22763
Italy,22694
France,22353
Macao,21806
Bahrain,21702
Lithuania,21120
Saudi Arabia,20827
United Arab Emirates,20488
Kuwait,20262
Israel,20026
Spain,20003
Slovenia,19979
Portugal,19932
Japan,19758
Ireland,19740
Aruba,19551
Malta,19515
Greece,19324
Poland,19120
Romania,18657
"Korea, South",18489
Turkey,18316
Latvia,17737
"Bahamas, The",17680
Qatar,17602
Estonia,17314
Czech Republic,16798
Croatia,16782
Brunei,16747
Curaçao,16460
Malaysia,16378
Slovakia,16146
Hungary,16128
Bulgaria,15892
Panama,15697
Chile,14748
Oman,14450
Mauritius,14370
Montenegro,14349
Russia,14189
Lebanon,14039
Kazakhstan,13682
Argentina,13572
Costa Rica,12744
Serbia,11949
Mexico,11668
Dominican Republic,11590
Barbados,11567
Georgia,11496
Belarus,11118
Armenia,10773
Colombia,10616
Antigua and Barbuda,10447
Moldova,10431
North Macedonia,10274
Kosovo,10113
Egypt,10014
Bosnia and Herzegovina,9642
Thailand,9180
Brazil,9135
Libya,9010
Albania,8970
Seychelles,8968
Paraguay,8912
South Africa,8648
Tunisia,8572
Dominica,8490
Azerbaijan,8441
Namibia,7928
Ukraine,7852
Peru,7705
Equatorial Guinea,7627
Fiji,7423
Maldives,7315
El Salvador,7217
Jamaica,7072
Guatemala,7054
China,6963
Jordan,6940
Iran,6715
Sri Lanka,6612
Ecuador,6546
Mongolia,6477
Indonesia,6395
Botswana,6338
Bhutan,6244
Philippines,6202
Tonga,5947
Palestine,5856
Bolivia,5833
Vietnam,5616
Eswatini,5459
Uzbekistan,5297
Iraq,5276
Cape Verde,5271
Algeria,5040
Nigeria,4987
Pakistan,4911
Belize,4682
Honduras,4649
India,4636
Morocco,4545
Gabon,4399
Bangladesh,4223
Samoa,4106
Ghana,4104
Kyrgyzstan,3941
Nicaragua,3859
Côte d'Ivoire,3582
Nepal,3555
Kenya,3485
Cambodia,3160
Djibouti,3157
Angola,2986
Mauritania,2788
Comoros,2701
Cameroon,2668
Sudan,2639
Haiti,2597
Senegal,2496
Tajikistan,2417
Lesotho,2396
Benin,2223
Guinea,2037
Rwanda,1904
Sierra Leone,1870
East Timor,1798
Myanmar,1797
"Gambia, The",1783
Tanzania,1759
Uganda,1754
"Congo, Rep.",1752
Zimbabwe,1719
Vanuatu,1708
Mali,1679
Ethiopia,1640
Zambia,1583
Somalia,1575
Burkina Faso,1373
Togo,1338
Solomon Islands,1240
Guinea-Bissau,1234
Madagascar,1188
Chad,1176
Central African Republic,932
Mozambique,871
Niger,869
"Congo, Dem. Rep.",755
Burundi,561
